config,range,cost,velocity,result
"*aMM0+++++*bNM4*cMN1+++++*dLM2+++++*eML1+++++^ab^ac^ad^ae,5,3",-0.5651321,3776.763,21.97068,CouldNotStabilize
"*aMM0+++++*bNM4*cMN2*dLM2+++*eML2+++^ab^ac^ad^ae,20,3",-0.6253861,3148.075,3.500896,CouldNotStabilize
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^df^fc^eg^gb,20,3",-0.008187242,1766.704,0.0001244363,CouldNotStabilize
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^cf^df^eg^bg,10,3",0.6771221,1920.538,13.35164,Success
"*aMM0++++++++++*bNM2++*cMN1++*dLM2*eML1*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,10,3",-0.4494406,4785.638,4.287261,CouldNotStabilize
"*aMM0+*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+++*gNL0+++*hOM1+++*iMO2+++*jMK2+++*kKM1+++*lNN3+*mLL3+^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^bl^dm^fc^gb,50,3",-0.2914408,7538.952,11.23856,CouldNotStabilize
"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLL3++*gNN3--*hLN3*iNL3^ab^ac^ad^ae^df^bg^eh^di^cf^dh^ei,53,3",-0.132082,5301.76,0.006536428,CouldNotStabilize
"*aMM0+++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNN4--*gLL3++++++++^ab^ac^ad^ae^bf^cf^dg^eg,20,3",8.651387,5436.805,33.31203,HitBoundary
"*aMM0--*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hNN4*iLL4^ab^ac^ad^ae^df^eg^ch^di^ci,33,3",11.43417,4542.987,28.9871,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^dk,60,3",9.178776,5662.143,26.24425,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3-----------^ab^ac^ad^ae^df^eg^cf^gg,7,3",-0.0007447095,1934.244,0.1368052,CouldNotStabilize
"*aMM0++++++++*bNM2+*cMN1+++*dLM2+++*eML1++^ab^ac^ad^ae,5,3",-8.842663e-07,4167.829,0.2777123,CouldNotStabilize
"*aMM0++++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,46,3",22.80986,8061.552,17.21241,Success
"*aMM0+++++*bNM3+*cMN3+++*dLM3++*eML3++*fOM2+++++*gMO2+++++*hMK3+++*iKM2++++^ab^ac^ad^ae^bf^cg^eh^di,5,3",-0.08742373,4133.96,12.97744,CouldNotStabilize
"*aMM0++++*bNM2+++*cMN1+++*dLM2++*eML2^ab^ac^ad^ae,5,3",-0.513945,3045.773,16.12809,CouldNotStabilize
"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fNN1++*gLN0++*hLL2++*iNL0+++^ab^ac^ad^ae^bf^cf^dg^gc^dh^eh^bi^ei,20,3",-2.681464e-05,6620.313,2.672633,CouldNotStabilize
"*aMM4++++*bNM0+++*cMN0+++*dLM1+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,71,3",-0.5751268,8947.048,7.42277,CouldNotStabilize
"*aMM0*bNM2++*cMN1++*dLM2++*eML1++*fMO2+++*gOM1+++*hKM1+++*iMK2+++*jNN2++++*kLL2++++*lLN1++++*mNL1++++^ab^ac^ad^ae^cf^bg^dh^ei^bj^ek^dl^bm,25,3",0.0273369,4074.251,0.7470044,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----*gNL3----^ab^ac^ad^ae^df^eg^fb^cg,35,3",-0.3434521,1977.874,0.0001768242,CouldNotStabilize
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3-------------^ab^ac^ad^ae^df^ef^cg^eg,6,3",-0.0007214044,1918.028,0.1183841,CouldNotStabilize
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^eg^bf^cg,8,3",0.394673,1752.382,10.53449,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------*gNL3---------^ab^ac^ad^ae^df^eg^bg,7,3",7.984367,1943.214,10.16613,Success
"*aMM0--*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO1+^ab^ac^ad^ae^cf,10,0",-0.001924837,2183.294,3.569119,CouldNotStabilize
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb,60,3",7.693762,5451.191,24.54452,Success
"*aMM0+++++*bNM3+*cMN3*dLM3*eML3*fOM1*gMO2*hKM1*iMK2+^ab^ac^ad^ae^bf^cg^bh^di,5,3",0.0,0.0,0.0,Timeout
"*aMM0+++++*bNM4+++*cMN4+++*dLM4+++*eML4+++*fMO4+++++*gOM2++++++*hMK4++++++*iKM4^ab^ac^ad^ae^bf^cg^eh^di,5,3",0.0,0.0,0.0,Timeout
"*aMM4++++++++++++++++*bNM0++++++++*cNL0++++++++++++++++*dOL2++++++++++++++++*eNK1*fMK2--------*gOK2----------------*hLM4----*iPL1++++++++++++++++^ab^bc^cd^de^df^dg^fh^hi,70,3",0.0,0.0,0.0,Timeout
"*aMM4+++++++++*bNM0++++++++++++++++*cOM3----------------*dNL0++++++++++++++++*eOL2----*fPM2--------*gLM1++++++++++++++++^ab^bc^cd^de^af^fg,70,3",0.0,0.0,0.0,Timeout
"*aMM0++++++++*bNM2*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,13,3",-0.4623767,4196.704,12.81113,CouldNotStabilize
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fNL3----------*gLN3----------^ab^ac^ad^ae^ef^dg,12,3",0.1521386,1783.309,4.838147,Success
"*aMM0++++*bNM1+++*cMN2+++*dLM1+++*eML2+++*fNN0*gOL3*hNO4*iOO0+*jMO1++*kOM2+*lKM2+*mMK1+^ab^ac^ad^ae^bf^cf^dg^gc^dh^eh^bi^ei^ej^bk^cl^em,5,3",0.0,0.0,0.0,Timeout
"*aMM0+++++++++++++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fMO4*gOM0^ab^ac^ad^ae^cf^dg,5,3",0.0,0.0,0.0,Timeout
"*aMM0+++++*bNM2++++*cMN2++++*dLM2+++*eML1+++*fOM3++++++++++*gMO3++++++++++^ab^ac^ad^ae^bf^bg,9,3",0.0,0.0,0.0,Timeout
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^df^dg^ef^bg^bg,37,3",-0.3712256,1985.711,0.0001277091,CouldNotStabilize
"*aMM0+++++*bNM4*cMN0*dLM4*eML3*fNN0^ab^ac^ad^ae^cf,5,3",-0.7446563,5550.051,0.06003744,CouldNotStabilize
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^bf^cg,7,3",4.497957,1895.929,12.01783,Success
"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0---*gNL0---^ab^ac^ad^ae^cf^eg,3,3",21.30459,3686.217,39.61613,Success
"*aMM0+*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++*lMP1++++*mPM2++++*nJM2++++*oMJ1++++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc^fl^im^gn^ho^jb,99,3",8.387383,7657.347,23.13506,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,35,3",22.22956,6057.31,32.29548,Success
"*aMM0*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^dk,60,3",12.21138,6143.036,26.11196,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^gb,3,3",0.0,0.0,0.0,Timeout
"*aMM0-*bNM1+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,57,3",13.61169,6211.144,26.64275,Success
"*aMM0++++*bNM1*cMN1*dLM2*eML1^ab^ac^ad^ae,32,1",-0.5527428,2735.148,0.03506232,CouldNotStabilize
"*aMM2++++++++++++++++*bML3----------------*cNL2++++++++++++++++*dNK1++++++++*eNJ0++++++++++++++++*fNM4++++*gOK0----------------^ab^bc^dd^ce^af,70,3",0.0,0.0,0.0,Timeout
"*aMM0++++++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb^kc,53,3",21.33031,8723.473,14.16668,Success
